Flight No,Type,Date,Origin,Departure Time,Arrival Time,Destination,IsDome,,,,,,,,,,,,,,,,,,,,,,,,,
3U8594,321,1234567,常州,2120,0005,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8595,321,.2.4.6.,哈尔滨,0810,1145,西安,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8596,321,.2.4.6.,北海,1625,1850,西安,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8597,320,.2.4.6.,昆明,0830,1120,太原,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8598,320,.2.4.6.,哈尔滨,1520,1755,太原,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8599,319,1.3.5.7,西安,0755,0910,甘南,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8600,319,1.3.5.7,拉萨,1320,1525,甘南,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8605,319,1234567,成都,0605,0700,九寨沟,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8606,319,1234567,九寨沟,0740,0845,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8607,319,1234567,成都,1525,1615,九寨沟,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8608,319,.2.4...,九寨沟,1655,1755,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8608,319,1.3..6.,九寨沟,1655,1755,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8608,319,......7,九寨沟,1700,1815,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8608,319,....5..,九寨沟,1705,1820,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8615,320,.2.4.6.,成都,2300,2355,九寨沟,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8616,319,..3.5.7,九寨沟,0045,0150,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8621,319,..3....,昆明,0720,0810,西双版纳,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8621,319,12.4567,昆明,0725,0815,西双版纳,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8622,319,1234567,西双版纳,1020,1130,昆明,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8627,320,1234567,成都,1730,2010,无锡,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8628,320,1234567,无锡,2055,0020,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8633,319,1234567,重庆,0750,1050,拉萨,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8634,319,1234567,拉萨,1155,1410,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8639,319,......7,成都,0830,0935,贵阳,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8639,319,.2.4.6.,成都,0830,0935,贵阳,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8639,320,1......,成都,1620,1730,贵阳,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8640,319,.2.4.67,泉州,1255,1520,贵阳,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8640,319,1......,泉州,2055,2315,贵阳,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8641,319,....5..,重庆,0610,0740,九寨沟,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8642,319,....5..,九寨沟,0730,0845,重庆,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8651,319,1.3.5.7,成都,1410,1540,攀枝花,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8651,319,.2.....,成都,0740,0910,攀枝花,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8651,319,...4.6.,成都,0745,0920,攀枝花,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8652,319,.2.....,攀枝花,0945,1055,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8652,319,...4.6.,攀枝花,1010,1125,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8652,319,1.3...7,攀枝花,1240,1400,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8652,319,....5..,攀枝花,1300,1420,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8653,319,1...5..,成都,0605,0730,稻城,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8654,319,..3...7,稻城,0955,1055,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8655,320,......7,昆明,0805,0950,珠海,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8656,320,......7,珠海,2140,0005,昆明,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8657,319,1234567,成都,0715,0945,拉萨,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8658,319,.2..5..,拉萨,1100,1255,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8658,319,1.34.67,拉萨,1050,1245,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8661,320,1234567,成都,0830,1005,昆明,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8662,320,.....6.,昆明,2150,2325,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8662,320,.23.5..,昆明,2205,2340,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8662,320,1..4..7,昆明,2205,2350,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
3U8669,319,.2.4.6.,昆明,0735,0910,成都,国内,,,,,,,,,,,,,,,,,,,,,,,,,
